_id,clouds,datetime,detailed_status,dewpoint,fetched_at,heat_index,humidex,humidity,precipitation_probability,pressure.press,pressure.sea_level,rain.1h,reference_time,status,sunrise_time,sunset_time,temperature.feels_like,temperature.temp,temperature.temp_max,temperature.temp_min,utc_offset,uvi,visibility_distance,weather_code,weather_icon_name,wind.deg,wind.gust,wind.speed,origin
6368876d3f571e8b23bc2308,100,2022-11-07 12:18:14,overcast clouds,,2022-11-07 12:18:14,,,76,,1011,1011,,1667794694,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636887bb3edf07bff98848ee,100,2022-11-07 12:18:14,overcast clouds,,2022-11-07 12:18:14,,,76,,1011,1011,,1667794694,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636888223f571e8b23bc2337,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636888703edf07bff988491d,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636888d63f571e8b23bc2366,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636889243edf07bff988494c,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
6368898b3f571e8b23bc2395,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
636889d83edf07bff988497b,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
63688a3f3f571e8b23bc23c4,100,2022-11-07 12:22:57,overcast clouds,,2022-11-07 12:22:57,,,76,,1011,1011,,1667794977,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.30400000000006,82.22000000000006,82.22000000000006,82.22000000000006,25200,,10000,804,04d,359,3.4,6.91233,history
63688a8d3edf07bff98849aa,100,2022-11-07 12:33:16,overcast clouds,,2022-11-07 12:33:16,,,77,,1010,1010,,1667795596,Clouds,2022-11-06 22:31:05,2022-11-07 10:33:20,88.21400000000003,82.07600000000009,82.07600000000009,82.07600000000009,25200,,10000,804,04d,346,3.45,7.404470000000001,history
